0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:41 +0900] "POST /Hospital_Reservation/view/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:41 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:41 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:41 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:57 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:57 +0900] "GET /Hospital_Reservation/view/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:57 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:57 +0900] "GET /admin/clinic/image/reserv_dot.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:58 +0900] "GET /img/favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:02 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:02 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:02 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:04 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:04 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:04 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:04 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:04 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:06 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:06 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:06 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:06 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:06 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:07 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:07 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
