0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:03 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:03 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:04 +0900] "GET /Hospital_Reservation/view/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:04 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:04 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:04 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:05 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:05 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:05 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:10 +0900] "POST /Hospital_Reservation/view/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:10 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3638
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:10 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:10 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:12 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:15 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:15 +0900] "GET /Hospital_Reservation/view/doctor_Confirm.jsp HTTP/1.1" 200 3264
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:15 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:26 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3638
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:26 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:26 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:37 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:37 +0900] "GET /Hospital_Reservation/view/doctor_Confirm.jsp HTTP/1.1" 200 3264
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:37 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:40 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 200 122
